,t,survival_rate,expected_benefit,net_single_premium
356,356,1.3684581127372666,257.35797004838264,30581.819972680834
357,357,1.3643527383990548,256.5858961382375,30476.08431264561
358,358,1.3602596801838576,255.81613844982283,30370.59590858991
359,359,1.356178901143306,255.04869003447334,30265.35366899078
360,360,1.3521103644398762,254.28354396436993,30160.356503851086
361,361,1.3480540333465565,253.52069333247678,30055.603324686148
362,362,1.3440098712465167,252.76013125247934,29951.09304451044
363,363,1.3399778416327772,252.0018508587219,29846.824577824245
364,364,1.335957908107879,251.24584530614578,29742.79684060035
365,365,1.3319500343835553,250.49210777022734,29639.008750270666
366,366,1.3279541842804046,249.74063144691667,29535.45922571294
367,367,1.3239703217275633,248.9914095525759,29432.14718723735
368,368,1.3199984107623806,248.24443532391817,29329.071556573195
369,369,1.3160384155300935,247.49970201794633,29226.23125685552
370,370,1.3120903002835032,246.75720291189253,29123.62521261176
371,371,1.3081540293826526,246.0169313031568,29021.252349748363
372,372,1.3042295672945046,245.2788805092474,28919.111595537433
373,373,1.3003168785926211,244.54304386771963,28817.20187860332
374,374,1.2964159279568432,243.80941473611648,28715.52212890928
375,375,1.2925266801729727,243.0779864919081,28614.071277744024
376,376,1.2886491001324538,242.3487525324324,28512.848257708374
377,377,1.2847831528320564,241.6217062748351,28411.852002701817
378,378,1.2809288033735602,240.89684115601057,28311.081447909113
379,379,1.2770860169634395,240.17415063254253,28210.535529786866
380,380,1.2732547589125491,239.4536281806449,28110.213186050096
381,381,1.2694349946358114,238.73526729610296,28010.113355658796
382,382,1.265626689651904,238.01906149421464,27910.234978804503
383,383,1.2618298095829483,237.305004309732,27810.576996896838
384,384,1.2580443201541995,236.59308929680282,27711.138352550035
385,385,1.254270187193737,235.8833100289124,27611.917989569498
386,386,1.2505073766321557,235.1756600988257,27512.91485293828
387,387,1.2467558545022592,234.4701331185292,27414.127888803647
388,388,1.2430155869387525,233.7667227191736,27315.55604446354
389,389,1.2392865401779363,233.06542255101607,27217.198268353088
390,390,1.2355686805574024,232.3662262833631,27119.053510031074
391,391,1.2318619745157302,231.669127604513,27021.12072016645
392,392,1.228166388592183,230.97412022169942,26923.398850524747
393,393,1.2244818894264065,230.28119786103434,26825.886853954562
394,394,1.2208084437581272,229.59035426745123,26728.58368437399
395,395,1.2171460184268528,228.9015832046489,26631.488296757067
396,396,1.2134945803715722,228.21487845503492,26534.599647120176
397,397,1.2098540966304574,227.5302338196698,26437.916692508465
398,398,1.206224534340566,226.84764311821075,26341.43839098223
399,399,1.2026058607375443,226.16710018885612,26245.16370160334
400,400,1.1989980431553315,225.48859888828954,26149.091584421556
401,401,1.1954010490258655,224.81213309162467,26053.221000460926
402,402,1.1918148458787878,224.13769669234983,25957.55091170615
403,403,1.1882394013411515,223.4652836022727,25862.080281088864
404,404,1.184674683137128,222.79488775146592,25766.80807247402
405,405,1.1811206590877166,222.12650308821148,25671.73325064616
406,406,1.1775772971104534,221.46012357894682,25576.854781295733
407,407,1.174044565219122,220.79574320821,25482.171631005374
408,408,1.1705224315234646,220.13335597858537,25387.682767236147
409,409,1.167010864228894,219.4729559106496,25293.387158313846
410,410,1.1635098316362074,218.81453704291766,25199.283773415205
411,411,1.1600193021412988,218.15809343178893,25105.371582554144
412,412,1.156539244234875,217.50361915149352,25011.649556567965
413,413,1.1530696265021703,216.85110829403908,24918.116667103553
414,414,1.1496104176226638,216.2005549691569,24824.771886603558
415,415,1.1461615863697958,215.55195330424948,24731.614188292573
416,416,1.1427231016106865,214.90529744433672,24638.64254616326
417,417,1.1392949323058543,214.26058155200366,24545.85593496252
418,418,1.1358770475089368,213.6177998073477,24453.253330177566
419,419,1.13246941636641,212.97694640792568,24360.833708022066
420,420,1.1290720081173107,212.33801556870188,24268.5960454222
421,421,1.1256847920929587,211.70100152199575,24176.53932000277
422,422,1.12230773771668,211.0658985174298,24084.662510073176
423,423,1.1189408145035298,210.43270082187746,23992.96459461352
424,424,1.1155839920600192,209.80140271941184,23901.444553260597
425,425,1.1122372400838392,209.1719985112536,23810.101366293886
426,426,1.1089005283635875,208.54448251571984,23718.93401462154
427,427,1.1055738267784967,207.91884906817268,23627.941479766352
428,428,1.1022571052981611,207.29509252096813,23537.122743851665
429,429,1.0989503339822666,206.67320724340522,23446.47678958735
430,430,1.0956534829803197,206.053187621675,23356.002600255655
431,431,1.0923665225313788,205.4350280588099,23265.699159697157
432,432,1.0890894229637846,204.81872297463354,23175.565452296534
433,433,1.0858221546948932,204.2042668057096,23085.600462968512
434,434,1.0825646882308084,203.59165400529247,22995.803177143614
435,435,1.079316994166116,202.98087904327662,22906.172580754006
436,436,1.0760790431836176,202.37193640614674,22816.707660219283
437,437,1.0728508060540667,201.76482059692833,22727.4074024322
438,438,1.0696322536359044,201.15952613513753,22638.270794744447
439,439,1.0664233568749968,200.5560475567321,22549.296824952355
440,440,1.0632240868043719,199.95437941406192,22460.484481282598
441,441,1.0600344145439586,199.35451627581972,22371.83275237788
442,442,1.0568543113003268,198.75645272699222,22283.340627282567
443,443,1.0536837483664259,198.1601833688113,22195.00709542835
444,444,1.0505226971213266,197.56570281870484,22106.831146619836
445,445,1.0473711290299625,196.97300571024869,22018.811771020133
446,446,1.0442290156428726,196.382086693118,21930.94795913643
447,447,1.041096328595944,195.7929404330386,21843.238701805523
448,448,1.0379730396101563,195.20556161173948,21755.682990179346
449,449,1.0348591204913258,194.61994492690434,21668.279815710448
450,450,1.0317545431298518,194.03608509212359,21581.028170137455
451,451,1.0286592795004623,193.45397683684723,21493.927045470562
452,452,1.025573301661961,192.87361490633668,21406.975433976877
453,453,1.022496581756975,192.29499406161767,21320.172328165892
454,454,1.0194290920117042,191.71810907943285,21233.51672077479
455,455,1.016370804735669,191.14295475219456,21147.00760475383
456,456,1.013321692321462,190.5695258879379,21060.643973251637
457,457,1.0102817272444977,189.99781731027417,20974.42481960052
458,458,1.0072508820627641,189.42782385834332,20888.349137301695
459,459,1.004229129416576,188.8595403867683,20802.41592001057
460,460,1.0012164420283263,188.292961765608,20716.62416152192
461,461,0.9982127927022412,187.72808288031118,20630.97285575509
462,462,0.9952181543241344,187.1648986316702,20545.460996739148
463,463,0.992232499861162,186.60340393577525,20460.087578598017
464,464,0.9892558023615786,186.0435937239679,20374.851595535547
465,465,0.9862880349544938,185.485462942796,20289.752041820633
466,466,0.9833291708496305,184.9290065539676,20204.787911772226
467,467,0.9803791833370814,184.37421953430572,20119.958199744346
468,468,0.9774380457870702,183.82109687570284,20035.261900111094
469,469,0.974505731649709,183.2696335850757,19950.698007251565
470,470,0.97158221445476,182.71982468432046,19866.26551553482
471,471,0.9686674678113956,182.17166521026752,19781.96341930475
472,472,0.9657614654079614,181.62515021463668,19697.790712864946
473,473,0.9628641810117374,181.08027476399278,19613.746390463562
474,474,0.9599755884687023,180.53703393970085,19529.829446278065
475,475,0.9570956617032962,179.9954228378817,19446.038874400056
476,476,0.9542243747181862,179.455436569368,19362.373668819986
477,477,0.9513617015940318,178.91707025965994,19278.832823411867
478,478,0.9485076164892496,178.38031904888095,19195.415331917964
479,479,0.9456620936397818,177.8451780917343,19112.120187933433
480,480,0.9428251073588626,177.31164255745915,19028.9463848909
481,481,0.939996632036786,176.77970762978674,18945.892916045108
482,482,0.9371766421406756,176.24936850689738,18862.958774457395
483,483,0.9343651122142536,175.72062040137666,18780.142952980248
484,484,0.9315620168776108,175.19345854017257,18697.444444241766
485,485,0.928767330826978,174.66787816455206,18614.8622406301
486,486,0.925981028834497,174.14387453005838,18532.39533427787
487,487,0.9232030857479936,173.62144290646825,18450.04271704655
488,488,0.9204334764907496,173.10057857774882,18367.803380510784
489,489,0.9176721760612774,172.58127684201557,18285.6763159427
490,490,0.9149191595330936,172.0635330114895,18203.660514296185
491,491,0.9121744020544942,171.54734241245507,18121.75496619111
492,492,0.9094378788483308,171.03270038521768,18039.95866189755
493,493,0.9067095652117858,170.51960228406202,17958.27059131989
494,494,0.9039894365161504,170.00804347720984,17876.689743981005
495,495,0.901277468206602,169.49801934677822,17795.215109006316
496,496,0.8985736358019822,168.98952528873787,17713.845675107834
497,497,0.8958779148945762,168.48255671287166,17632.58043056819
498,498,0.8931902811498924,167.97710904273305,17551.41836322459
499,499,0.8905107103064428,167.47317771560486,17470.35846045277
500,500,0.8878391781755234,166.97075818245804,17389.399709150846
501,501,0.885175660640997,166.46984590791067,17308.54109572323
502,502,0.882520133659074,165.97043637018695,17227.78160606439
503,503,0.8798725732580968,165.4725250610764,17147.120225542676
504,504,0.8772329555383224,164.97610748589318,17066.555938984002
505,505,0.8746012566717074,164.48117916343546,16986.0877306556
506,506,0.8719774529016924,163.98773562594516,16905.71458424962
507,507,0.8693615205429872,163.49577241906735,16825.435482866793
